problema,D,M,u1_len1,u1_maxfe,u1_31Dm1,u1_ok_fe,u1_feidx_denso,u1_sid_unicos,u1_termino,u1_nfooter,u1_hardstop,u1_status,u1_retries,u1_fallback,u2_ninit,u2_esperado,u2_prefixo,u2_dX,u2_hash_ok,u2_cpinit,u2_fases,u3_n3,u3_cols3,u3_tempo_nulos,u3_n4,u3_nacum_nan,u3_fitseries,u3_sigma_dict_presente,u3_timing5_nulos,u3_tempo_aval_real,u4_sonda_status,u4_sonda_blocos,u4_sonda_linhas,u4_rec_sonda,t11_campanha_id,t11_repo_hash,t11_schema_version,t11_regra_rotulo,t11_sonda_estrat,t11_ger_deriv,u7_n_gen6,u7_n_ger4,u7_dmax,u7_ger_seq,u7_soma_le_total,u7_soma_ger,u7_total,u7_aval_le_ger,u9_ch6,u9_ch5,u9_chfooter,u9_ok,u9_sid_no1,u9_seedblk,u9_seedblk_sids,u9_seedblk_todos_doe,u9_dup_arranque,u9_ch_prole,u10_pop_20,u10_n2,u10_nger_man,u10_nger6,u10_nger4,u10_nger_eq,u10_D_mais_1,u10_subset,t11_form_nova,t11_form_nova_ok,t11_form_nova_prole,t11_form_antiga,t11_form_ceil_f5,p1_bate,p1_inter,p1_nfrentes_rec,p1_nfrentes_calc,p1_nf1_rec,p1_nf1_calc,p1_ndoe_rec,p1_excede_rec,p1_excede_calc,p2_Nnom,p2_Nef,p2_npop_gen,p2_hdr_N,p3_infill,p3_20D,p4_transicoes,p4_violacoes,p4_turn_min,p4_turn_max,p4_turn_med,p4_doe_sobrevive,p5_fbest_eq_ideal,p5_comp,p5_viol,p5_melhora,p5_estag,p5_nadirf1_le_pop,p6_le_N,p6_max,p6_satura,p6_satura_g1,p7_resto,p7_ch_prole,p7_ledger_ok,p7_slots,p7_taxa,p7_clones2,p7_gens_com_clone,p7_clone_max,p8_err_rel,p8_n1_ok,p8_n1_tot,n4_nan,n4_xmin,n4_xmax,n3_x_dup,n1_patches,n1_piso,n1_surrog,n5_campos6,n5_nadirf1,n6_hdr_runid,n6_hdr_ambiente,n6_hdr_sigma,n6_hdr_campanha,n6_algo_version,n6_matlab
BBOB_F1,10,2,309,309,309,True,True,True,normal,1,1,ok,0,False,109,109,True,0.0,True,True,"init,opt",0,29,11,11,11,0,False,True,0.07799999999999993,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,11,11,6.226539617237847e-09,True,True,0.48252799455076456,4.459311,True,38,38,38,True,True,21,20,True,True,17,True,220,11,11,11,True,True,True,11,True,10,10,10,False,2,17,1,7,109,109,False,True,20,20,[20],20,200,True,10,0,7,12,9.7,0,True,20,0,12,8,True,True,20,True,False,16,17,False,200,0.085,16,5,5,4.5705303297375307e-08,11,11,0,-4.983510494232178,4.994968414306641,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
BBOB_F17,10,2,309,309,309,True,True,True,normal,1,1,ok,0,False,109,109,True,0.0,True,True,"init,opt",0,29,11,11,11,0,False,True,0.13726999999999995,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,11,11,5.239486705610474e-09,True,True,0.5337860062718391,4.467689,True,30,30,30,True,True,21,20,True,True,9,True,220,11,11,11,True,True,True,11,True,10,10,10,False,3,14,1,6,109,109,False,True,20,20,[20],20,200,True,10,0,8,12,10.0,0,True,20,0,11,9,True,True,13,False,False,7,9,False,200,0.045,13,6,3,5.229062574747432e-08,11,11,0,-5.0,4.9993181228637695,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
BBOB_F22,10,2,309,309,309,True,True,True,normal,1,1,ok,0,False,109,109,True,0.0,True,True,"init,opt",0,29,11,11,11,0,False,True,0.11232699999999991,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,11,11,1.8916130051227498e-09,True,True,0.4998719971626997,4.389883,True,24,24,24,True,True,21,20,True,True,3,True,220,11,11,11,True,True,True,11,True,10,10,10,False,5,20,1,5,109,109,False,True,20,20,[20],20,200,True,10,0,6,13,9.7,0,True,20,0,9,11,True,True,20,True,False,3,3,True,200,0.015,3,2,2,5.7059718353214895e-08,11,11,0,-5.0,5.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
BBOB_F37,10,2,309,309,309,True,True,True,normal,1,1,ok,0,False,109,109,True,0.0,True,True,"init,opt",0,29,11,11,11,0,False,True,0.13711299999999993,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,11,11,6.3047408960237306e-09,True,True,0.520144997164607,4.544575,True,24,24,24,True,True,21,20,True,True,3,True,220,11,11,11,True,True,True,11,True,10,10,10,False,5,17,1,5,109,109,False,True,20,20,[20],20,200,True,10,0,4,10,8.0,0,True,20,0,8,12,True,True,20,True,False,3,3,True,200,0.015,1,1,1,5.137385040987631e-08,11,11,0,-4.980626106262207,4.998353958129883,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
BBOB_F49,10,2,309,309,309,True,True,True,normal,1,1,ok,0,False,109,109,True,0.0,True,True,"init,opt",0,29,11,11,11,0,False,True,0.5794209999999996,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,11,11,1.0713577247578598e-08,True,True,0.828278012573719,5.2227,True,24,24,24,True,True,21,20,True,True,3,True,220,11,11,11,True,True,True,11,True,10,10,10,False,3,20,1,5,109,109,False,True,20,20,[20],20,200,True,10,0,4,12,7.4,0,True,20,0,6,14,True,True,15,False,False,3,3,True,200,0.015,7,5,3,4.428037204996407e-08,11,11,0,-4.967920780181885,5.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
BBOB_F5,10,2,309,309,309,True,True,True,normal,1,1,ok,0,False,109,109,True,0.0,True,True,"init,opt",0,29,11,11,11,0,False,True,0.08485699999999999,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,11,11,3.6830902216955508e-09,True,True,0.4767459984868765,4.438904,True,27,27,27,True,True,21,20,True,True,6,True,220,11,11,11,True,True,True,11,True,10,10,10,False,5,22,1,7,109,109,False,True,20,20,[20],20,200,True,10,0,7,12,9.1,0,True,20,0,10,10,True,True,20,True,False,5,6,False,200,0.03,4,4,1,5.307122048086031e-08,11,11,0,-4.996821880340576,5.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
BBOB_F55,10,2,309,309,309,True,True,True,normal,1,1,ok,0,False,109,109,True,0.0,True,True,"init,opt",0,29,11,11,11,0,False,True,1.1754899999999993,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,11,11,5.885124193527602e-09,True,True,1.2705009877681732,5.45224,True,27,27,27,True,True,21,20,True,True,6,True,220,11,11,11,True,True,True,11,True,10,10,10,False,3,17,1,4,109,109,False,True,20,20,[20],20,200,True,10,0,4,9,7.8,0,True,20,0,11,9,True,True,13,False,False,6,6,True,200,0.03,7,4,4,4.6501707832854096e-08,11,11,0,-5.0,4.996640682220459,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
DTLZ1,7,3,216,216,216,True,True,True,normal,1,1,ok,0,False,76,76,True,0.0,True,True,"init,opt",0,28,8,8,8,0,False,True,0.07693200000000004,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,8,8,4.457473778973764e-09,True,True,0.5719409994781017,4.27355,True,23,23,23,True,True,21,20,True,True,2,True,160,8,8,8,True,True,True,8,True,7,7,7,False,5,6,1,17,76,76,False,True,20,20,[20],20,140,True,7,0,8,9,8.571428571428571,0,True,21,0,5,16,True,True,20,True,False,2,2,True,140,0.014285714285714285,0,0,0,5.3430658585575695e-08,8,8,0,0.0,1.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
DTLZ2,12,3,371,371,371,True,True,True,normal,1,1,ok,0,False,131,131,True,0.0,True,True,"init,opt",0,33,13,13,13,0,False,True,0.10087899999999989,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,13,13,7.0943832475300894e-09,True,True,0.5057159904390574,4.329258,True,25,25,25,True,True,21,20,True,True,4,True,260,13,13,13,True,True,True,13,True,12,12,12,False,5,6,1,40,131,131,True,True,20,20,[20],20,240,True,12,0,5,11,8.5,0,True,36,0,20,16,True,True,20,True,True,4,4,True,240,0.016666666666666666,0,0,0,4.447258070999805e-08,13,13,0,0.0,1.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
DTLZ3,12,3,371,371,371,True,True,True,normal,1,1,ok,0,False,131,131,True,0.0,True,True,"init,opt",0,33,13,13,13,0,False,True,0.09627999999999994,nao_se_aplica,0,0,0,False,,1,False,False,20D ÷ N_efetivo (o DoE 11D-1 e gasto ANT,13,13,4.854202262372098e-09,True,True,0.5342489928007126,4.68587,True,24,24,24,True,True,21,20,True,True,3,True,260,13,13,13,True,True,True,13,True,12,12,12,False,3,7,1,19,131,131,False,True,20,20,[20],20,240,True,12,0,5,10,7.666666666666667,0,True,36,0,11,25,True,True,20,True,False,3,3,True,240,0.0125,1,1,1,5.716917334349885e-08,13,13,0,0.0,1.0,0,NENHUM — piso e stoc,True,False,True,True,False,False,False,False,piso-NSGAII-PlatEMO4.15,25.1.0.2973910 (R2025a) Update 1
