label,problema,tier,dist,exp,status,n_retries,fallback,motivo,maxfe,fe_final,n_ger_man,cache_hits,algo_version,py,sklearn,numpy,pymoo,t_total,t_fit,t_busca,t_real,t_sonda,n_fitseries,fit_nacum,sonda_S,sonda_nblocos,sd_keys,sd_modo,has_params_5,doe_hash,cp_x,cp_f,doe_eq_cp,D,M,n1,U1_n1_eq_maxfe,U1_fase_init,U1_feidx_denso,U1_solid_denso,U2_dsX_bitaabit,U2_dsF_bitaabit,U2_ds_path,F_2_vazia,n3,n3_sonda,n3_busca,n3_regimes,U4_sonda_20k,U4_sonda_ger_null,U4_sonda_1bloco,U8_fetreino_const,U8_fetreino_val,U8_fetreino_eq_N1,F_rsid_null,F_espaco_cru,F_transf_null,F_predtipo_valor,F_predclasse_null,F_modelo_flag,F_modelo_flag_uni,F_sigma_nan_share,F_sigma_min,F_sigma_pos,F_sigma_sonda_med,F_sigma_busca_med,n_ger3,U10_ger_densa,U10_ngen_eq_man,NRV,A_pop_max,A_pop_min,A_pop_med,A_pop_last,A_pop_le_NRV,A_pop_eq_NRV_share,A_pop_g1,A_fe40k_prev,A_fe40k_pre_ultima,A_fe40k_ok,A_overshoot,U3_n4_linhas,U3_n4_eq_1,U3_n4_nacum,U3_nacum_eq_N,t4_fit,t4_busca,t4_ger,t4_sonda,U7_fit_busca_le_ger,U7_delta,U7_sonda_fora,n6_linhas,n6_recs,U9_guard,U9_cachehits_5,n6_decision,U10_dec_eq_ngen,U10_dec_densa,F_ndsmembros0,F_fe_const,F_tfit_so_g1,F_caminho,F_motivo_dec,n6_footer,F_footer_status,F_footer_nfinal,F_footer_nnd,n6_sonda_ev,U4_hash_check,U10_fbest_ok,U10_nfront1_ok,n7,U12_n7_eq_poplast,U12_X_bitaabit,U12_origem_ger,U12_origem_linha,U12_origem_solid_null,U12_nd_recomputa,n7_nd,F_fantasia,U12_footer_bate,U12_f_roundtrip_maxrel,U5_sonda_maxdx,U5_sonda_bitaabit,A_inter_g1_ds,A_inter_busca_ds
BBOB_F1,BBOB_F1,main,lhs,off,ok,0,False,orcamento,309,309,828,0,b5-prob-1.0,3.7.12,0.21.3,1.21.6,0.6.1.2,138.825,0.7373,134.732,0.0,0.6087,1,309,20000,1,18,mode 7 (ProbRVEA_v3 / Prob_APD_select_v3,False,c5d1ee9e3632a136fbc764a95a0e66515db9cc5983de45ca06568b41cda8ee5c,c5d1ee9e3632a136fbc764a95a0e66515db9cc5983de45ca06568b41cda8ee5c,7c21786ffcec9bdccb1216d4dd5338acc170dedd86cebb1bd43fb2e75bdd3331,True,10,2,309,True,True,True,True,True,True,ds_BBOB_F1_42.parquet,True,59655,20000,39655,offline|sonda,True,True,True,True,308,True,True,True,True,True,True,b5r/ProbRVEA-v3+GPR,True,0.0,1.0004912614822388,True,5.612851619720459,1.2586554288864136,828,True,True,50,50,30,48.0,48,True,0.21980676328502416,50,40074,40024,False,74,1,True,309,True,0.7373089790344238,134.73202514648438,135.46932983398438,0.6086599826812744,True,-4.291534423828125e-06,True,832,"{""decision"": 828, ""footer"": 2, ""header"": 1, ""sonda"": 1}",0,0,828,True,True,True,True,True,b5_gen,selecao no surrogate (mode 7),2,ok,48,28,1,ok (conferido no arranque — load_sonda),0,828,48,True,True,True,True,True,True,28,0.5833333333333334,True,6.225646547039286e-08,0.0,True,0,0
BBOB_F17,BBOB_F17,main,lhs,off,ok,0,False,orcamento,309,309,2461,0,b5-prob-1.0,3.7.12,0.21.3,1.21.6,0.6.1.2,139.3983,0.7202,135.7025,0.0,0.6087,1,309,20000,1,18,mode 7 (ProbRVEA_v3 / Prob_APD_select_v3,False,118801c8e0992bab7dd7bc4a26ac90530a0f676577ef7027deaef0fc4f55598c,118801c8e0992bab7dd7bc4a26ac90530a0f676577ef7027deaef0fc4f55598c,51becbfd4c3f27cc61c08c3ca299971f6e9b1c8cf0b88dbcfa624bd9875ba3e0,True,10,2,309,True,True,True,True,True,True,ds_BBOB_F17_42.parquet,True,58877,20000,38877,offline|sonda,True,True,True,True,308,True,True,True,True,True,True,b5r/ProbRVEA-v3+GPR,True,0.0,5.015358924865723,True,19.33687973022461,18.10962677001953,2461,True,True,50,50,2,15.0,29,True,0.0004063388866314506,50,40064,40034,False,64,1,True,309,True,0.7201979160308838,135.7025146484375,136.42271423339844,0.6087071895599365,True,1.6689300537109375e-06,True,2465,"{""decision"": 2461, ""footer"": 2, ""header"": 1, ""sonda"": 1}",0,0,2461,True,True,True,True,True,b5_gen,selecao no surrogate (mode 7),2,ok,29,3,1,ok (conferido no arranque — load_sonda),2,2038,29,True,True,True,True,True,True,3,0.10344827586206896,True,2.980965205634026e-07,0.0,True,0,0
BBOB_F22,BBOB_F22,main,lhs,off,ok,0,False,orcamento,309,309,1144,0,b5-prob-1.0,3.7.12,0.21.3,1.21.6,0.6.1.2,134.0881,0.761,130.4578,0.0,0.6115,1,309,20000,1,18,mode 7 (ProbRVEA_v3 / Prob_APD_select_v3,False,0b4475f70d78936a8cb286b157ec9a89933c1665a29f2f77c73fb3bee4cac52b,0b4475f70d78936a8cb286b157ec9a89933c1665a29f2f77c73fb3bee4cac52b,422abfdce4f61cee046708aecca2efa309bc6c6b916346963173659e5864f48e,True,10,2,309,True,True,True,True,True,True,ds_BBOB_F22_42.parquet,True,59436,20000,39436,offline|sonda,True,True,True,True,308,True,True,True,True,True,True,b5r/ProbRVEA-v3+GPR,True,0.0,1.7068195343017578,True,10.765397071838379,4.359676837921143,1144,True,True,50,50,1,39.0,39,True,0.0008741258741258741,50,40062,40022,False,62,1,True,309,True,0.7609601020812988,130.457763671875,131.21871948242188,0.6114828586578369,True,-4.291534423828125e-06,True,1148,"{""decision"": 1144, ""footer"": 2, ""header"": 1, ""sonda"": 1}",0,0,1144,True,True,True,True,True,b5_gen,selecao no surrogate (mode 7),2,ok,39,5,1,ok (conferido no arranque — load_sonda),0,1141,39,True,True,True,True,True,True,5,0.1282051282051282,True,1.3584628190977167e-07,0.0,True,0,0
BBOB_F37,BBOB_F37,main,lhs,off,ok,0,False,orcamento,309,309,814,0,b5-prob-1.0,3.7.12,0.21.3,1.21.6,0.6.1.2,138.8636,0.8456,134.9333,0.0,0.6039,1,309,20000,1,18,mode 7 (ProbRVEA_v3 / Prob_APD_select_v3,False,78d44f9fd856d02487d52202bbd05ab7e780ee160fbfccea4b77e2f3ed076eca,78d44f9fd856d02487d52202bbd05ab7e780ee160fbfccea4b77e2f3ed076eca,bbec1612432b790a013535e7bbcc3007b48e91fb064c401532cf36f759bdac2c,True,10,2,309,True,True,True,True,True,True,ds_BBOB_F37_42.parquet,True,59765,20000,39765,offline|sonda,True,True,True,True,308,True,True,True,True,True,True,b5r/ProbRVEA-v3+GPR,True,0.0,2.005012273788452,True,15.383967399597168,6.665116786956787,814,True,True,50,50,30,50.0,50,True,0.5319410319410319,50,40066,40016,False,66,1,True,309,True,0.8456361293792725,134.93328857421875,135.7789306640625,0.6038990020751953,True,5.9604644775390625e-06,True,818,"{""decision"": 814, ""footer"": 2, ""header"": 1, ""sonda"": 1}",0,0,814,True,True,True,True,True,b5_gen,selecao no surrogate (mode 7),2,ok,50,7,1,ok (conferido no arranque — load_sonda),0,814,50,True,True,True,True,True,True,7,0.14,True,1.3311975040616118e-07,0.0,True,0,0
BBOB_F49,BBOB_F49,main,lhs,off,ok,0,False,orcamento,309,309,919,0,b5-prob-1.0,3.7.12,0.21.3,1.21.6,0.6.1.2,136.5114,0.7701,132.7574,0.0,0.6095,1,309,20000,1,18,mode 7 (ProbRVEA_v3 / Prob_APD_select_v3,False,4c282ef0de8cdf39acfcdc2b88447b49db95ee2666ec4d6ce5a87cb37e7d96bd,4c282ef0de8cdf39acfcdc2b88447b49db95ee2666ec4d6ce5a87cb37e7d96bd,bc4ab957fa9c4e52c051d4d7f822c34c20f2154f23ae12743d6e66c007199198,True,10,2,309,True,True,True,True,True,True,ds_BBOB_F49_42.parquet,True,59595,20000,39595,offline|sonda,True,True,True,True,308,True,True,True,True,True,True,b5r/ProbRVEA-v3+GPR,True,0.0,2.416874408721924,True,14.667719841003418,12.905034065246582,919,True,True,50,50,9,44.0,46,True,0.002176278563656148,50,40076,40036,False,76,1,True,309,True,0.7700800895690918,132.75741577148438,133.52749633789062,0.6095480918884277,True,4.76837158203125e-07,True,923,"{""decision"": 919, ""footer"": 2, ""header"": 1, ""sonda"": 1}",0,0,919,True,True,True,True,True,b5_gen,selecao no surrogate (mode 7),2,ok,46,2,1,ok (conferido no arranque — load_sonda),0,919,46,True,True,True,True,True,True,2,0.043478260869565216,True,1.0400422149529781e-07,0.0,True,0,0
BBOB_F5,BBOB_F5,main,lhs,off,ok,0,False,orcamento,309,309,879,0,b5-prob-1.0,3.7.12,0.21.3,1.21.6,0.6.1.2,135.8448,0.9397,131.9712,0.0,0.6049,1,309,20000,1,18,mode 7 (ProbRVEA_v3 / Prob_APD_select_v3,False,33ef83f624ce5393395ba2eb1ea8562911ce6a609c8231f395c42166cc7ba58b,33ef83f624ce5393395ba2eb1ea8562911ce6a609c8231f395c42166cc7ba58b,4ab738739d12fedff661dedfb97e1569ba2de5da28ae5485b04f250a03d468c3,True,10,2,309,True,True,True,True,True,True,ds_BBOB_F5_42.parquet,True,59561,20000,39561,offline|sonda,True,True,True,True,308,True,True,True,True,True,True,b5r/ProbRVEA-v3+GPR,True,0.0,1.0284184217453003,True,7.146855354309082,2.154728651046753,879,True,True,50,50,13,46.0,46,True,0.010238907849829351,50,40054,40008,False,54,1,True,309,True,0.9397070407867432,131.97120666503906,132.91090393066406,0.6049320697784424,True,-9.775161743164062e-06,True,883,"{""decision"": 879, ""footer"": 2, ""header"": 1, ""sonda"": 1}",0,0,879,True,True,True,True,True,b5_gen,selecao no surrogate (mode 7),2,ok,46,27,1,ok (conferido no arranque — load_sonda),0,879,46,True,True,True,True,True,True,27,0.5869565217391305,True,5.64277332436597e-08,0.0,True,0,0
BBOB_F55,BBOB_F55,main,lhs,off,ok,0,False,orcamento,309,309,942,0,b5-prob-1.0,3.7.12,0.21.3,1.21.6,0.6.1.2,139.8258,0.7122,136.297,0.0,0.605,1,309,20000,1,18,mode 7 (ProbRVEA_v3 / Prob_APD_select_v3,False,56dca61b277d6c73ae1334694d7fc6223036f3df64b3d80357010f746fc979d2,56dca61b277d6c73ae1334694d7fc6223036f3df64b3d80357010f746fc979d2,d143571a60311a699e2d16536cb5307855c5a773635725259b15ad5287765f21,True,10,2,309,True,True,True,True,True,True,ds_BBOB_F55_42.parquet,True,59547,20000,39547,offline|sonda,True,True,True,True,308,True,True,True,True,True,True,b5r/ProbRVEA-v3+GPR,True,0.0,0.39712977409362793,True,6.001359939575195,7.112376689910889,942,True,True,50,50,24,42.0,44,True,0.0010615711252653928,50,40072,40028,False,72,1,True,309,True,0.7121982574462891,136.2969512939453,137.0091552734375,0.6050019264221191,True,5.7220458984375e-06,True,946,"{""decision"": 942, ""footer"": 2, ""header"": 1, ""sonda"": 1}",0,0,942,True,True,True,True,True,b5_gen,selecao no surrogate (mode 7),2,ok,44,7,1,ok (conferido no arranque — load_sonda),23,942,44,True,True,True,True,True,True,7,0.1590909090909091,True,7.600912885707139e-08,0.0,True,0,0
DTLZ1,DTLZ1,main,lhs,off,ok,0,False,orcamento,216,216,870,0,b5-prob-1.0,3.7.12,0.21.3,1.21.6,0.6.1.2,351.1107,0.2499,348.1077,0.0,0.5018,1,216,20000,1,18,mode 7 (ProbRVEA_v3 / Prob_APD_select_v3,False,a5c89886de9b55b78a7caedb4e3fbb26ea3c9783076a315af4cdbf467edf3f08,a5c89886de9b55b78a7caedb4e3fbb26ea3c9783076a315af4cdbf467edf3f08,b41eeb7785f586077def361fc94c0eee9432e96fa73393f5de2403ac9832e313,True,7,3,216,True,True,True,True,True,True,ds_DTLZ1_42.parquet,True,59524,20000,39524,offline|sonda,True,True,True,True,215,True,True,True,True,True,True,b5r/ProbRVEA-v3+GPR,True,0.0,0.5792633891105652,True,23.066713333129883,18.613445281982422,870,True,True,105,105,13,46.0,51,True,0.0011494252873563218,105,40109,40059,False,109,1,True,216,True,0.2499408721923828,348.10772705078125,348.357666015625,0.50177001953125,True,-1.9073486328125e-06,True,874,"{""decision"": 870, ""footer"": 2, ""header"": 1, ""sonda"": 1}",0,0,870,True,True,True,True,True,b5_gen,selecao no surrogate (mode 7),2,ok,51,5,1,ok (conferido no arranque — load_sonda),1,865,51,True,True,True,True,True,True,5,0.09803921568627451,True,1.1234372698914961e-06,0.0,True,0,0
DTLZ2,DTLZ2,main,lhs,off,ok,0,False,orcamento,371,371,504,0,b5-prob-1.0,3.7.12,0.21.3,1.21.6,0.6.1.2,283.8934,3.8745,275.4141,0.0,1.1843,1,371,20000,1,18,mode 7 (ProbRVEA_v3 / Prob_APD_select_v3,False,77b3ca1a9021b378f86d034ac80784954bed2938c4e61b6ce36e3998171f94f4,77b3ca1a9021b378f86d034ac80784954bed2938c4e61b6ce36e3998171f94f4,a4a00f32521b45d44ec4f1145d4ce2bc8f013acbb03de8e9c2e93171ddd9bc00,True,12,3,371,True,True,True,True,True,True,ds_DTLZ2_42.parquet,True,59791,20000,39791,offline|sonda,True,True,True,True,370,True,True,True,True,True,True,b5r/ProbRVEA-v3+GPR,True,0.0,0.011730390600860119,True,0.28913235664367676,0.1053767278790474,504,True,True,105,105,61,79.0,83,True,0.001984126984126984,105,40183,40099,False,183,1,True,371,True,3.8744850158691406,275.41412353515625,279.2886047363281,1.1842811107635498,True,-3.814697265625e-06,True,508,"{""decision"": 504, ""footer"": 2, ""header"": 1, ""sonda"": 1}",0,0,504,True,True,True,True,True,b5_gen,selecao no surrogate (mode 7),2,ok,83,71,1,ok (conferido no arranque — load_sonda),0,504,83,True,True,True,True,True,True,71,0.8554216867469879,True,0.0022017779296290402,0.0,True,0,0
DTLZ3,DTLZ3,main,lhs,off,ok,0,False,orcamento,371,371,1077,0,b5-prob-1.0,3.7.12,0.21.3,1.21.6,0.6.1.2,449.4572,0.5849,443.3054,0.0,1.1639,1,371,20000,1,18,mode 7 (ProbRVEA_v3 / Prob_APD_select_v3,False,80e82645869c393d96965bc87eb6427dc0170a913d1333389f893e3bf3bc51d4,80e82645869c393d96965bc87eb6427dc0170a913d1333389f893e3bf3bc51d4,a2d4807c94bd6a917d6a5dff9071bad8632a55831401d1ff5ca40a4ccb7aa1d1,True,12,3,371,True,True,True,True,True,True,ds_DTLZ3_42.parquet,True,59397,20000,39397,offline|sonda,True,True,True,True,370,True,True,True,True,True,True,b5r/ProbRVEA-v3+GPR,True,0.0,31.62264060974121,True,31.622772216796875,31.622772216796875,1077,True,True,105,105,25,37.0,38,True,0.0009285051067780873,105,40121,40089,False,121,1,True,371,True,0.5848801136016846,443.3053894042969,443.8902587890625,1.1638832092285156,True,-1.0728836059570312e-05,True,1081,"{""decision"": 1077, ""footer"": 2, ""header"": 1, ""sonda"": 1}",0,0,1077,True,True,True,True,True,b5_gen,selecao no surrogate (mode 7),2,ok,38,4,1,ok (conferido no arranque — load_sonda),1077,1077,38,True,True,True,True,True,True,4,0.10526315789473684,True,6.043452734164865e-07,0.0,True,0,0
