fonte,prob,D,M,Nnom,Nef,n_off,A1_maxfe_ok,A1_feindex_denso,A1_hardstop,A1_hs_fe,A1_hs_em_maxfe,A2_dX,A2_hash_ok,A2_n_init,A2_init_ok,A2_n_opt,A2_opt_ok,A5_H1,A5_nref,A5_nlog,A5_dW,A5_Nlattice_eq_Nef,A6_n_decomposicao,A8_npop_unicos,A8_npop_eq_Nef,A8_grupos2,A8_grupos2_eq_Nef,A8_gen_densa,A8_sid_validos,A7_conjunto_igual,A7_nfrentes_log,A7_nfrentes_rec,A7_nf1_log,A7_nf1_rec,A7_pop1_no_doe,A10_off_full,A10_fe_cons,A10_dup_off,A10_fecha,A10_parcial,A10_parcial_le_noff,A13_ch_init,A13_eq_Nef_mais1,A13_sids_distintos,A13_sids_eq_Nef,A11_dup_pct,A21_ch_manifesto,A21_ch_jsonl,A21_bate,A21_nomes_guard,A12_colisoes,A14_ngen_man,A14_ngen_ev,A14_t4_rows,A14_tudo_igual,A18_ideal_ne_fbest,A18_nao_monotonias,A18_transicoes,A18_nadir_ge_ideal,A19_terceira_linhas,A19_fit_series_vazia,A19_sonda_status,A19_sigma_dict,A19_header_surrogate,A20_t4_nan_fit,A20_t4_nan_busca,A20_t4_nan_sonda,A20_dt_max,A20_soma4,A20_total,A20_aval,A20_soma4_le_total,A22_params_chaves,A22_n_footer,A22_termino,A22_status,A23_repo_hash,T11_campanha_id,T11_schema,T11_gerderiv_prefixo
s42,BBOB_F1,10,2,20,20,20,1,1,1,309,1,0.0,1,109,1,200,1,19,20,20,0.0,1,1,[20],1,11,1,1,1,1,17,17,7,7,1,200,198,2,1,2,1,21,1,20,1,1.0,23,23,1,"['cache_hit', 'hard_stop']",0,11,11,11,1,0,0,20,1,0,1,nao_se_aplica,<AUSENTE>,False,11,11,11,7.74383546175983e-09,0.8350729905068874,5.020871,0.09657400000000002,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,BBOB_F17,10,2,20,20,20,1,1,1,309,1,0.0,1,109,1,200,1,19,20,20,0.0,1,1,[20],1,11,1,1,1,1,14,14,6,6,1,200,199,1,1,1,1,21,1,20,1,0.5,22,22,1,"['cache_hit', 'hard_stop']",0,11,11,11,1,0,0,20,1,0,1,nao_se_aplica,<AUSENTE>,False,11,11,11,5.978584294297207e-09,0.7209539925679564,4.852702,0.1349660000000001,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,BBOB_F22,10,2,20,20,20,1,1,1,309,1,0.0,1,109,1,200,1,19,20,20,0.0,1,1,[20],1,11,1,1,1,1,20,20,5,5,1,200,189,11,1,11,1,21,1,20,1,5.5,32,32,1,"['cache_hit', 'hard_stop']",0,11,11,11,1,0,0,20,1,0,1,nao_se_aplica,<AUSENTE>,False,11,11,11,6.11209868828233e-09,0.6515889903530478,4.517315,0.11268600000000006,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,BBOB_F37,10,2,20,20,20,1,1,1,309,1,0.0,1,109,1,200,1,19,20,20,0.0,1,1,[20],1,11,1,1,1,1,17,17,5,5,1,200,196,4,1,4,1,21,1,20,1,2.0,25,25,1,"['cache_hit', 'hard_stop']",0,11,11,11,1,0,0,20,1,0,1,nao_se_aplica,<AUSENTE>,False,11,11,11,6.665229784763582e-09,0.6952989958226681,4.563131,0.12594899999999995,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,BBOB_F49,10,2,20,20,20,1,1,1,309,1,0.0,1,109,1,200,1,19,20,20,0.0,1,1,[20],1,11,1,1,1,1,20,20,5,5,1,200,199,1,1,1,1,21,1,20,1,0.5,22,22,1,"['cache_hit', 'hard_stop']",0,11,11,11,1,0,0,20,1,0,1,nao_se_aplica,<AUSENTE>,False,11,11,11,7.696151715919086e-09,1.3021819964051247,6.313985,0.8822250000000003,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,BBOB_F5,10,2,20,20,20,1,1,1,309,1,0.0,1,109,1,200,1,19,20,20,0.0,1,1,[20],1,11,1,1,1,1,22,22,7,7,1,200,198,2,1,2,1,21,1,20,1,1.0,23,23,1,"['cache_hit', 'hard_stop']",0,11,11,11,1,0,0,20,1,0,1,nao_se_aplica,<AUSENTE>,False,11,11,11,8.760452252509765e-09,0.7472660047933459,5.077274,0.10878900000000011,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,BBOB_F55,10,2,20,20,20,1,1,1,309,1,0.0,1,109,1,200,1,19,20,20,0.0,1,1,[20],1,11,1,1,1,1,17,17,4,4,1,200,190,10,1,10,1,21,1,20,1,5.0,31,31,1,"['cache_hit', 'hard_stop']",0,11,11,11,1,0,0,20,1,0,1,nao_se_aplica,<AUSENTE>,False,11,11,11,1.2773513802244452e-08,1.338315986096859,5.867637,1.0579330000000007,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,DTLZ1,7,3,20,15,14,1,1,1,216,1,0.0,1,76,1,140,1,4,15,15,0.0,1,1,[15],1,11,1,1,1,1,6,6,17,17,1,140,136,4,1,5,1,16,1,15,1,2.857142857142857,21,21,1,"['cache_hit', 'hard_stop']",0,11,11,11,1,0,1,30,1,0,1,nao_se_aplica,<AUSENTE>,False,11,11,11,3.6602020303533322e-09,0.6722689978778362,4.603608,0.06238900000000002,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,DTLZ2,12,3,20,15,14,1,1,1,371,1,0.0,1,131,1,240,1,4,15,15,0.0,1,1,[15],1,18,1,1,1,1,6,6,40,40,1,238,230,8,1,10,1,16,1,15,1,3.361344537815126,24,24,1,"['cache_hit', 'hard_stop']",0,18,18,18,1,0,3,51,1,0,1,nao_se_aplica,<AUSENTE>,False,18,18,18,3.864288333765842e-09,0.7212840067222714,4.598481,0.112577,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
s42,DTLZ3,12,3,20,15,14,1,1,1,371,1,0.0,1,131,1,240,1,4,15,15,0.0,1,1,[15],1,18,1,1,1,1,7,7,19,19,1,238,231,7,1,9,1,16,1,15,1,2.9411764705882355,23,23,1,"['cache_hit', 'hard_stop']",0,18,18,18,1,0,0,51,1,0,1,nao_se_aplica,<AUSENTE>,False,18,18,18,1.4634132378121834e-09,0.7078470000997186,4.423801,0.10756999999999996,1,12,1,normal,ok,,<AUSENTE>,1,20D ÷ N_efetivo (o DoE 1
