prob,D,M,Nef,n_off,init,maxfe,fe_final,ngen_obs,ngen_events,ch_man,ch_tot,ch_init,dup_off,fe_last,A24_ceil_dupoff,ok_A24_ceil_dupoff,T11_floor_chtot,ok_T11_floor_chtot,floor_dupoff,ok_floor_dupoff,ceil_chtot,ok_ceil_chtot,string_antiga_20D_div_Nef,ok_string_antiga_20D_div_Nef
BBOB_F1,10,2,20,20,109,309,309,11,11,23,23,21,2,307,11,1,11,1,10,0,12,0,10,0
BBOB_F17,10,2,20,20,109,309,309,11,11,22,22,21,1,308,11,1,11,1,10,0,12,0,10,0
BBOB_F22,10,2,20,20,109,309,309,11,11,32,32,21,11,298,11,1,11,1,10,0,12,0,10,0
BBOB_F37,10,2,20,20,109,309,309,11,11,25,25,21,4,305,11,1,11,1,10,0,12,0,10,0
BBOB_F49,10,2,20,20,109,309,309,11,11,22,22,21,1,308,11,1,11,1,10,0,12,0,10,0
BBOB_F5,10,2,20,20,109,309,309,11,11,23,23,21,2,307,11,1,11,1,10,0,12,0,10,0
BBOB_F55,10,2,20,20,109,309,309,11,11,31,31,21,10,299,11,1,11,1,10,0,12,0,10,0
DTLZ1,7,3,15,14,76,216,216,11,11,21,21,16,4,212,11,1,11,1,10,0,12,0,9,0
DTLZ2,12,3,15,14,131,371,371,18,18,24,24,16,8,361,18,1,18,1,17,0,19,0,16,0
DTLZ3,12,3,15,14,131,371,371,18,18,23,23,16,7,362,18,1,18,1,17,0,19,0,16,0
DTLZ4,12,3,15,14,131,371,371,18,18,20,20,16,4,365,18,1,18,1,17,0,19,0,16,0
DTLZ7,22,3,15,14,241,681,681,33,33,32,32,16,16,673,33,1,33,1,32,0,34,0,29,0
MMF1,2,2,20,20,21,61,61,3,3,23,23,21,2,59,3,1,3,1,2,0,4,0,2,0
MMF11_L,2,2,20,20,21,61,61,3,3,22,22,21,1,60,3,1,3,1,2,0,4,0,2,0
MMF16_20,20,3,15,14,219,619,619,30,30,25,25,16,9,616,30,1,30,1,29,0,31,0,26,0
MMF4,2,2,20,20,21,61,61,3,3,22,22,21,1,60,3,1,3,1,2,0,4,0,2,0
WFG1,22,2,20,20,241,681,681,23,23,31,31,21,10,671,23,1,23,1,22,0,24,0,22,0
WFG2,22,2,20,20,241,681,681,23,23,34,34,21,13,668,23,1,23,1,22,0,24,0,22,0
WFG4,22,2,20,20,241,681,681,23,23,36,36,21,15,666,23,1,23,1,22,0,24,0,22,0
WFG5,22,2,20,20,241,681,681,23,23,37,37,21,16,665,23,1,23,1,22,0,24,0,22,0
WFG9,22,2,20,20,241,681,681,23,23,28,28,21,7,674,23,1,23,1,22,0,24,0,22,0
ZDT1,30,2,20,20,329,929,929,31,31,38,38,21,17,912,31,1,31,1,30,0,32,0,30,0
ZDT3,30,2,20,20,329,929,929,31,31,32,32,21,11,918,31,1,31,1,30,0,32,0,30,0
ZDT4,10,2,20,20,109,309,309,11,11,26,26,21,5,304,11,1,11,1,10,0,12,0,10,0
ZDT6,10,2,20,20,109,309,309,11,11,23,23,21,2,307,11,1,11,1,10,0,12,0,10,0
