problema,n,ref1_argmin_Con,refs_subset_camada2,tam2_med
BBOB_F1,200,46,200,208.5
BBOB_F17,200,16,200,208.5
BBOB_F22,204,25,204,208.5
BBOB_F37,201,30,201,209.0
BBOB_F49,200,0,200,208.5
BBOB_F5,200,0,200,208.5
BBOB_F55,200,7,200,208.5
DTLZ1,140,0,140,145.5
DTLZ2,270,0,270,258.5
DTLZ3,243,8,243,252.0
DTLZ4,338,78,338,313.0
DTLZ7,423,72,423,472.0
MMF1,45,23,45,42.0
MMF11_L,42,19,42,38.5
MMF16_20,90,5,90,290.0
MMF4,50,0,50,45.5
WFG1,185,0,185,481.0
WFG2,443,106,443,462.0
WFG4,274,0,274,506.0
WFG5,370,0,370,451.5
WFG9,442,13,442,461.5
ZDT1,557,116,557,658.0
ZDT3,547,42,547,603.0
ZDT4,201,0,201,209.0
ZDT6,203,33,203,207.0
