problema,recs_outros,n_recs,n_header,n_footer,D,M,N_nominal,N_efetivo_man,N_efetivo_footer,maxfe_esp,init_esp,n_real,U1_len_ok,U1_maxfe_man,U1_fefinal_ok,U1_feindex_denso,U1_sid_denso,fases,U2_init_ok,U2_cp_init,n_xcols,doe_shape,U2_dX_max,doe_hash_man,U2_hash_hdr_eq,n_gens_log,n_ger_man,A5_gens_esp,A5_gens_ok,A5_g_denso,A5_fe_g1,A5_fe_g1_eq_init,A5_dfe_unicos,A5_dfe_todos_N,A5_fe_last,A5_npop_sempre_N,n_pop_rows,A7_grupos,A7_todos_N,A7_total_ok,A7_dup_intra,S_n_doe,S_n_frentes,S_n_frente1,S_f1_excede,S_criterio,S_n_frentes_calc,S_n_frente1_calc,S_frentes_ok,S_pick_igual,S_pick_inter,S_todos_do_doe,S_f1_contida,G_guards,G_n_guards,G_cache_hits_man,G_cache_hits_ftr,G_recon,G_uniq_sid,G_dups,G_fe_no_init,G_fe_pos_init,G_sids_sao_pop1,G_ordem_igual,E_viol_subset,E_entrantes_med,E_entrantes_max,E_entrantes_soma,E_taxa_aceite,E_ent_le_N,R_bad_front1,R_bad_ideal,R_bad_nadirpop,R_bad_nadirf1,R_fbest_eq_ideal,R_ngen,R_front1_lt_N,R_front1_frac_media,HV_n_trans,HV_viol,HV_viol_1pct,HV_pior_rel,HV_ganho_total,HV_g1,HV_gN,SUR_linhas,SUR_cols,SIG_sigma_dict,SIG_fit_series,SONDA_status,SONDA_blocos,SONDA_linhas,HDR_surrogate_flag,HDR_piso_flag,T_rows,T_rows_ok,T_fit_null,T_busca_null,T_sonda_null,T_nacum_null,T_soma_ger,T_total_man,T_soma_le_total,T_aval_real,T_fit_man,T_busca_man,T_sonda_man,T_ger_gt0,T_jsonl_eq_parquet,MAN_status,MAN_retries,FTR_termino,FTR_status,MAN_motivo_parada,MAN_fallback,MAN_algo_version,MAN_repo_hash,HDR_operadores,HDR_principio,PAR_patches,PAR_surrogate,PAR_parameter,MAN_params_keys,MAN_env,DED_x_unicos,DED_x_dups
BBOB_F1,,35,1,1,10,2,20,20,20,309,109,309,True,True,True,True,True,init=109;opt=200,True,True,10,AUSENTE,,f875df0bb019,True,11,11,11,True,True,109,True,20,True,309,True,220,11,True,True,0,109,17,7,False,NDSort + CrowdingDistance (D88) — desemp,17,7,True,True,20,True,True,cache_hit=21,21,21,21,True,20,1,21,0,True,True,0,10.6,13,106,0.53,True,0,0,0,0,11,11,11,0.5363636363636364,10,0,0,0.0010642823034776835,0.26135976925572874,40547.27737081099,51144.70442839418,0,29,False,0,nao_se_aplica,0,0,False,True,11,True,True,True,True,True,0.6004700064659119,4.658452,True,0.08872600000000008,,,,True,True,ok,0,normal,ok,AUSENTE,False,piso-SMSEMOA-PlatEMO4.15,,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),contribuicao de hipervolume (S-metric),NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,nenhum (SMS-EMOA PURO stock — nao e o SMS-EMOA-MA surrogate do §3.6),12,"{""matlab"": ""25.1.0.2973910 (R2025a) Update 1"", ""stack"": ""matlab-platemo"", ""pymoo"": ""0.6.2""}",309,0
BBOB_F17,,35,1,1,10,2,20,20,20,309,109,309,True,True,True,True,True,init=109;opt=200,True,True,10,AUSENTE,,d15aed2c60ef,True,11,11,11,True,True,109,True,20,True,309,True,220,11,True,True,0,109,14,6,False,NDSort + CrowdingDistance (D88) — desemp,14,6,True,True,20,True,True,cache_hit=21,21,21,21,True,20,1,21,0,True,True,0,8.9,11,89,0.445,True,0,0,0,0,11,11,11,0.5000000000000001,10,0,0,0.0005334043948541082,0.01601502682194602,63623719846.03641,64642655425.88266,0,29,False,0,nao_se_aplica,0,0,False,True,11,True,True,True,True,True,0.6343870162963867,4.556333,True,0.14178599999999997,,,,True,True,ok,0,normal,ok,AUSENTE,False,piso-SMSEMOA-PlatEMO4.15,,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),contribuicao de hipervolume (S-metric),NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,nenhum (SMS-EMOA PURO stock — nao e o SMS-EMOA-MA surrogate do §3.6),12,"{""matlab"": ""25.1.0.2973910 (R2025a) Update 1"", ""stack"": ""matlab-platemo"", ""pymoo"": ""0.6.2""}",309,0
BBOB_F22,,35,1,1,10,2,20,20,20,309,109,309,True,True,True,True,True,init=109;opt=200,True,True,10,AUSENTE,,f363ce9265e2,True,11,11,11,True,True,109,True,20,True,309,True,220,11,True,True,0,109,20,5,False,NDSort + CrowdingDistance (D88) — desemp,20,5,True,True,20,True,True,cache_hit=21,21,21,21,True,20,1,21,0,True,True,0,10.0,13,100,0.5,True,0,0,0,0,11,11,10,0.5136363636363636,10,0,0,0.000381930825862222,0.35830897396773165,4446515549.978368,6039741974.422681,0,29,False,0,nao_se_aplica,0,0,False,True,11,True,True,True,True,True,0.5847370028495789,4.754818,True,0.119017,,,,True,True,ok,0,normal,ok,AUSENTE,False,piso-SMSEMOA-PlatEMO4.15,,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),contribuicao de hipervolume (S-metric),NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,nenhum (SMS-EMOA PURO stock — nao e o SMS-EMOA-MA surrogate do §3.6),12,"{""matlab"": ""25.1.0.2973910 (R2025a) Update 1"", ""stack"": ""matlab-platemo"", ""pymoo"": ""0.6.2""}",309,0
BBOB_F37,,35,1,1,10,2,20,20,20,309,109,309,True,True,True,True,True,init=109;opt=200,True,True,10,AUSENTE,,6ff27d4d787c,True,11,11,11,True,True,109,True,20,True,309,True,220,11,True,True,0,109,17,5,False,NDSort + CrowdingDistance (D88) — desemp,17,5,True,True,20,True,True,cache_hit=21,21,21,21,True,20,1,21,0,True,True,0,9.2,13,92,0.46,True,0,0,0,0,11,11,11,0.3136363636363636,10,0,0,3.165441320098301e-05,0.14140448920793072,14527008.581614478,16581192.809816899,0,29,False,0,nao_se_aplica,0,0,False,True,11,True,True,True,True,True,0.7128679752349854,5.619991,True,0.1715900000000001,,,,True,True,ok,0,normal,ok,AUSENTE,False,piso-SMSEMOA-PlatEMO4.15,,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),contribuicao de hipervolume (S-metric),NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,nenhum (SMS-EMOA PURO stock — nao e o SMS-EMOA-MA surrogate do §3.6),12,"{""matlab"": ""25.1.0.2973910 (R2025a) Update 1"", ""stack"": ""matlab-platemo"", ""pymoo"": ""0.6.2""}",309,0
BBOB_F49,,35,1,1,10,2,20,20,20,309,109,309,True,True,True,True,True,init=109;opt=200,True,True,10,AUSENTE,,95bec03708fd,True,11,11,11,True,True,109,True,20,True,309,True,220,11,True,True,0,109,20,5,False,NDSort + CrowdingDistance (D88) — desemp,20,5,True,True,20,True,True,cache_hit=21,21,21,21,True,20,1,21,0,True,True,0,6.6,11,66,0.33,True,0,0,0,0,11,11,11,0.5636363636363636,10,0,0,2.5097527466638154e-05,0.2566046099004882,290724.0235228067,365325.1481675769,0,29,False,0,nao_se_aplica,0,0,False,True,11,True,True,True,True,True,0.9781789779663086,5.253073,True,0.6244990000000002,,,,True,True,ok,0,normal,ok,AUSENTE,False,piso-SMSEMOA-PlatEMO4.15,,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),contribuicao de hipervolume (S-metric),NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,nenhum (SMS-EMOA PURO stock — nao e o SMS-EMOA-MA surrogate do §3.6),12,"{""matlab"": ""25.1.0.2973910 (R2025a) Update 1"", ""stack"": ""matlab-platemo"", ""pymoo"": ""0.6.2""}",309,0
BBOB_F5,,35,1,1,10,2,20,20,20,309,109,309,True,True,True,True,True,init=109;opt=200,True,True,10,AUSENTE,,9c1c6f9e8c0a,True,11,11,11,True,True,109,True,20,True,309,True,220,11,True,True,0,109,22,7,False,NDSort + CrowdingDistance (D88) — desemp,22,7,True,True,20,True,True,cache_hit=21,21,21,21,True,20,1,21,0,True,True,0,10.4,13,104,0.52,True,0,0,0,0,11,11,11,0.4318181818181818,10,0,0,0.0060193861878530645,0.45175864549797506,333276.9137871597,483837.6409353924,0,29,False,0,nao_se_aplica,0,0,False,True,11,True,True,True,True,True,0.6094269752502441,4.591437,True,0.09748799999999984,,,,True,True,ok,0,normal,ok,AUSENTE,False,piso-SMSEMOA-PlatEMO4.15,,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),contribuicao de hipervolume (S-metric),NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,nenhum (SMS-EMOA PURO stock — nao e o SMS-EMOA-MA surrogate do §3.6),12,"{""matlab"": ""25.1.0.2973910 (R2025a) Update 1"", ""stack"": ""matlab-platemo"", ""pymoo"": ""0.6.2""}",309,0
BBOB_F55,,35,1,1,10,2,20,20,20,309,109,309,True,True,True,True,True,init=109;opt=200,True,True,10,AUSENTE,,156cb913846b,True,11,11,11,True,True,109,True,20,True,309,True,220,11,True,True,0,109,17,4,False,NDSort + CrowdingDistance (D88) — desemp,17,4,True,True,20,True,True,cache_hit=21,21,21,21,True,20,1,21,0,True,True,0,7.2,11,72,0.36,True,0,0,0,0,11,11,11,0.32727272727272727,10,0,0,8.136420588619019e-05,2.726893281046547,547.0868773977814,2038.9344075225279,0,29,False,0,nao_se_aplica,0,0,False,True,11,True,True,True,True,True,1.3667590618133545,5.589761,True,1.1223630000000004,,,,True,True,ok,0,normal,ok,AUSENTE,False,piso-SMSEMOA-PlatEMO4.15,,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),contribuicao de hipervolume (S-metric),NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,nenhum (SMS-EMOA PURO stock — nao e o SMS-EMOA-MA surrogate do §3.6),12,"{""matlab"": ""25.1.0.2973910 (R2025a) Update 1"", ""stack"": ""matlab-platemo"", ""pymoo"": ""0.6.2""}",309,0
DTLZ1,,32,1,1,7,3,20,20,20,216,76,216,True,True,True,True,True,init=76;opt=140,True,True,7,AUSENTE,,721bacf39910,True,8,8,8,True,True,76,True,20,True,216,True,160,8,True,True,0,76,6,17,False,NDSort + CrowdingDistance (D88) — desemp,6,17,True,True,20,True,True,cache_hit=21,21,21,21,True,20,1,21,0,True,True,0,8.857142857142858,11,62,0.44285714285714284,True,0,0,0,0,8,8,4,0.94375,7,0,0,0.001190126309190755,0.03790452523618933,39449992.12296476,40945325.34495715,0,28,False,0,nao_se_aplica,0,0,False,True,8,True,True,True,True,True,1.784572958946228,5.498942,True,0.06519099999999994,,,,True,True,ok,0,normal,ok,AUSENTE,False,piso-SMSEMOA-PlatEMO4.15,,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),contribuicao de hipervolume (S-metric),NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,nenhum (SMS-EMOA PURO stock — nao e o SMS-EMOA-MA surrogate do §3.6),12,"{""matlab"": ""25.1.0.2973910 (R2025a) Update 1"", ""stack"": ""matlab-platemo"", ""pymoo"": ""0.6.2""}",216,0
DTLZ2,,37,1,1,12,3,20,20,20,371,131,371,True,True,True,True,True,init=131;opt=240,True,True,12,AUSENTE,,e9e359a6a4af,True,13,13,13,True,True,131,True,20,True,371,True,260,13,True,True,0,131,6,40,True,NDSort + CrowdingDistance (D88) — desemp,6,40,True,True,20,True,,cache_hit=21,21,21,21,True,20,1,21,0,True,True,0,9.0,12,108,0.45,True,0,0,0,0,13,13,0,1.0,12,0,0,0.004263560068011932,0.4259530423268091,5.135521898945939,7.323013075737913,0,33,False,0,nao_se_aplica,0,0,False,True,13,True,True,True,True,True,1.4471009969711304,5.323825,True,0.10965100000000003,,,,True,True,ok,0,normal,ok,AUSENTE,False,piso-SMSEMOA-PlatEMO4.15,,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),contribuicao de hipervolume (S-metric),NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,nenhum (SMS-EMOA PURO stock — nao e o SMS-EMOA-MA surrogate do §3.6),12,"{""matlab"": ""25.1.0.2973910 (R2025a) Update 1"", ""stack"": ""matlab-platemo"", ""pymoo"": ""0.6.2""}",371,0
DTLZ3,,37,1,1,12,3,20,20,20,371,131,371,True,True,True,True,True,init=131;opt=240,True,True,12,AUSENTE,,b41f7d771c68,True,13,13,13,True,True,131,True,20,True,371,True,260,13,True,True,0,131,7,19,False,NDSort + CrowdingDistance (D88) — desemp,7,19,True,True,20,True,True,cache_hit=21,21,21,21,True,20,1,21,0,True,True,0,8.166666666666666,11,98,0.4083333333333333,True,0,0,0,0,13,13,12,0.7807692307692307,12,0,0,0.0005463713750677398,0.13692726038346095,2398381803.6532288,2726785653.381009,0,33,False,0,nao_se_aplica,0,0,False,True,13,True,True,True,True,True,1.1098010540008545,5.385262,True,0.13229600000000005,,,,True,True,ok,0,normal,ok,AUSENTE,False,piso-SMSEMOA-PlatEMO4.15,,Balde C: SBX proC=1 dis_c=20 + PM proM=1 dis_m=20 (defaults OperatorGA do PlatEMO),contribuicao de hipervolume (S-metric),NENHUM — piso e stock do PlatEMO 4.15 por design,NENHUM (piso = MOEA puro) -> tabela ③ vazia e serie §17.6 vazia,nenhum (SMS-EMOA PURO stock — nao e o SMS-EMOA-MA surrogate do §3.6),12,"{""matlab"": ""25.1.0.2973910 (R2025a) Update 1"", ""stack"": ""matlab-platemo"", ""pymoo"": ""0.6.2""}",370,1
