exp,prob,D,M,igd_doe,igd_final,ganho_pct
main,BBOB_F1,10,2,,,
main,BBOB_F17,10,2,,,
main,BBOB_F22,10,2,,,
main,BBOB_F37,10,2,,,
main,BBOB_F49,10,2,,,
main,BBOB_F5,10,2,,,
main,BBOB_F55,10,2,,,
main,DTLZ1,7,3,,,
main,DTLZ2,12,3,,,
main,DTLZ3,12,3,,,
main,DTLZ4,12,3,,,
main,DTLZ7,22,3,,,
main,MMF1,2,2,,,
main,MMF11_L,2,2,,,
main,MMF16_20,20,3,,,
main,MMF4,2,2,,,
main,WFG1,22,2,,,
main,WFG2,22,2,,,
main,WFG4,22,2,,,
main,WFG5,22,2,,,
main,WFG9,22,2,,,
main,ZDT1,30,2,,,
main,ZDT3,30,2,,,
main,ZDT4,10,2,,,
main,ZDT6,10,2,,,
batch,DTLZ2,12,3,,,
batch,MMF16_20,20,3,,,
batch,WFG9,22,2,,,
batch,ZDT1,30,2,,,
batch,ZDT4,10,2,,,
