problema,D,M,U1_maxfe_esp,U1_n_real,U1_len_ok,U1_fefinal_ok,U1_feidx_denso,U1_sid_denso,U1_n_init,U1_n_opt,U1_fases_ok,U2_dX_max_f32,U2_hash_ok,U2_hash_hdr,A3_N_nom,A3_N_ef,A3_npop_sempre20,A3_n_gens_log,A3_n_ger_man,A3_n_ger_ftr,A3_ger_eq_Dmais1,A5_fe_g1,A5_fe_g1_eq_init,A5_dfe_todos20,A5_dfe_n_igual20,A5_n_trans,A5_dfe_unicos,A5_fe_last,A5_n_guards,A5_n_cache,A5_n_outros_guards,A5_outros_nomes,A5_cache_man,A5_cache_ftr,A5_cache_recon,A5_cache_no_init,A5_cache_init_sids_unicos,A5_cache_pos_init,A5_fechamento_ok,A7_pop_linhas,A7_grupos,A7_todos20,A7_total_ok,A7_dup_intra,E_viol,E_trans,E_entr_med,E_entr_max,E_entr_soma,E_ent_le_N,R_bad_front1,R_bad_ideal,R_bad_nadirpop,R_bad_nadirf1,R_fbest_eq_ideal,R_front1_frac_med,S_n_doe,S_n_frentes,S_n_frente1,S_f1_excede,S_pick_igual,S_n_frentes_calc,S_n_frente1_calc,S_frentes_ok,S_todos_do_doe,SUR_linhas,SUR_cols,SONDA_status,SONDA_blocos,FIT_series,T_rows_ok,T_fit_null,T_busca_null,T_sonda_null,T_ger_gt0,T_soma_ger,T_total,T_soma_le_total,T_aval_real,T_jsonl_eq_parquet,T11_schema,T11_campanha_id,T11_repo_hash,T11_sigma_dict,T11_gerderiv,T11_hdr_keys,T11_hdr_tem_run_id,T11_hdr_tem_ambiente,T11_formula_T11,T11_formula_antiga,T11_formula_ceil_F5,T11_ndup_evo,T11_real,T11_formula_bate,T11_formula_bate_mais1
BBOB_F1,10,2,309,309,True,True,True,True,109,200,True,0.0,,True,20,20,True,11,11,11,True,109,True,True,10,10,[20],309,21,21,0,[],21,21,True,21,20,0,True,220,11,True,True,0,0,10,10.6,13,106,True,0,0,0,0,True,0.5363636363636364,109,17,7,False,True,17,7,True,True,0,29,nao_se_aplica,0,0,True,True,True,True,True,0.6004700064659119,4.658452,True,0.08872600000000008,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,10,10,10,0,11,False,True
BBOB_F17,10,2,309,309,True,True,True,True,109,200,True,0.0,,True,20,20,True,11,11,11,True,109,True,True,10,10,[20],309,21,21,0,[],21,21,True,21,20,0,True,220,11,True,True,0,0,10,8.9,11,89,True,0,0,0,0,True,0.5000000000000001,109,14,6,False,True,14,6,True,True,0,29,nao_se_aplica,0,0,True,True,True,True,True,0.6343870162963867,4.556333,True,0.14178599999999997,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,10,10,10,0,11,False,True
BBOB_F22,10,2,309,309,True,True,True,True,109,200,True,0.0,,True,20,20,True,11,11,11,True,109,True,True,10,10,[20],309,21,21,0,[],21,21,True,21,20,0,True,220,11,True,True,0,0,10,10.0,13,100,True,0,0,0,0,True,0.5136363636363636,109,20,5,False,True,20,5,True,True,0,29,nao_se_aplica,0,0,True,True,True,True,True,0.5847370028495789,4.754818,True,0.119017,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,10,10,10,0,11,False,True
BBOB_F37,10,2,309,309,True,True,True,True,109,200,True,0.0,,True,20,20,True,11,11,11,True,109,True,True,10,10,[20],309,21,21,0,[],21,21,True,21,20,0,True,220,11,True,True,0,0,10,9.2,13,92,True,0,0,0,0,True,0.3136363636363636,109,17,5,False,True,17,5,True,True,0,29,nao_se_aplica,0,0,True,True,True,True,True,0.7128679752349854,5.619991,True,0.1715900000000001,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,10,10,10,0,11,False,True
BBOB_F49,10,2,309,309,True,True,True,True,109,200,True,0.0,,True,20,20,True,11,11,11,True,109,True,True,10,10,[20],309,21,21,0,[],21,21,True,21,20,0,True,220,11,True,True,0,0,10,6.6,11,66,True,0,0,0,0,True,0.5636363636363636,109,20,5,False,True,20,5,True,True,0,29,nao_se_aplica,0,0,True,True,True,True,True,0.9781789779663086,5.253073,True,0.6244990000000002,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,10,10,10,0,11,False,True
BBOB_F5,10,2,309,309,True,True,True,True,109,200,True,0.0,,True,20,20,True,11,11,11,True,109,True,True,10,10,[20],309,21,21,0,[],21,21,True,21,20,0,True,220,11,True,True,0,0,10,10.4,13,104,True,0,0,0,0,True,0.4318181818181818,109,22,7,False,True,22,7,True,True,0,29,nao_se_aplica,0,0,True,True,True,True,True,0.6094269752502441,4.591437,True,0.09748799999999984,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,10,10,10,0,11,False,True
BBOB_F55,10,2,309,309,True,True,True,True,109,200,True,0.0,,True,20,20,True,11,11,11,True,109,True,True,10,10,[20],309,21,21,0,[],21,21,True,21,20,0,True,220,11,True,True,0,0,10,7.2,11,72,True,0,0,0,0,True,0.32727272727272727,109,17,4,False,True,17,4,True,True,0,29,nao_se_aplica,0,0,True,True,True,True,True,1.3667590618133545,5.589761,True,1.1223630000000004,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,10,10,10,0,11,False,True
DTLZ1,7,3,216,216,True,True,True,True,76,140,True,0.0,,True,20,20,True,8,8,8,True,76,True,True,7,7,[20],216,21,21,0,[],21,21,True,21,20,0,True,160,8,True,True,0,0,7,8.857142857142858,11,62,True,0,0,0,0,True,0.94375,76,6,17,False,True,6,17,True,True,0,28,nao_se_aplica,0,0,True,True,True,True,True,1.784572958946228,5.498942,True,0.06519099999999994,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,7,7,7,0,8,False,True
DTLZ2,12,3,371,371,True,True,True,True,131,240,True,0.0,,True,20,20,True,13,13,13,True,131,True,True,12,12,[20],371,21,21,0,[],21,21,True,21,20,0,True,260,13,True,True,0,0,12,9.0,12,108,True,0,0,0,0,True,1.0,131,6,40,True,True,6,40,True,True,0,33,nao_se_aplica,0,0,True,True,True,True,True,1.4471009969711304,5.323825,True,0.10965100000000003,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,12,12,12,0,13,False,True
DTLZ3,12,3,371,371,True,True,True,True,131,240,True,0.0,,True,20,20,True,13,13,13,True,131,True,True,12,12,[20],371,21,21,0,[],21,21,True,21,20,0,True,260,13,True,True,0,0,12,8.166666666666666,11,98,True,0,0,0,0,True,0.7807692307692307,131,7,19,False,True,7,19,True,True,0,33,nao_se_aplica,0,0,True,True,True,True,True,1.1098010540008545,5.385262,True,0.13229600000000005,True,1,,,,20D ÷ N_efetivo (o DoE 11D-1 e,"D,M,N_nominal,N_origem,alg,algo,casamento,doe_hash,maxfe,operadores,piso,principio,problema,rec,regime,seeding,semente,surrogate,ts",False,False,12,12,12,0,13,False,True
