problema,status,m_tem_params,m_tem_campanha_id,m_tem_repo_hash,m_tem_schema_version,m_tem_checkpoint,m_tem_motivo_parada,m_tem_executable,m_sonda_keys,maxfe,fe_final,n_ger,cache_hits,n_retries,fallback,n_blocos_sonda_manif,D,M,u1_len1,u1_31D_1,u1_ok,u1_fe_index_denso_ord,u2_n_init,u2_11D_1,u2_dx_doe_max,u9_linhas_ruins,h_tem_params,h_params_n,h_params_tem_acqf_hp,h_kernel,h_acqf,h_train_Yvar,h_cache_root,h_mc,h_nrest,h_fused,h_ref_fonte,n_footer,f_hard_stopped,f_cp_init,f_tem_n_checkpoints,n_guard,guard_nomes,n_guard_fit_retries,u3_n_dec,u3_n_tim,u3_ok,u4_n_sonda,u4_formula_ok,u4_ng_par,fit_retries_soma,fit_retries_its_pos,joia1_ok,joia1_tot,joia1_dmax,nrest_set,alpha_min,alpha_max,alpha_neg,n_hardstop,n_cachehit,l3_linhas,l3_online,l3_sonda,l3_regimes,l3_tem_estrat,l3_online_eq_10xdec,l3_tam_blocos,joia2_marcadas,joia2_ultima,joia2_dx_max,sigma_nan,sigma_min,sonda_sid_marcada,u8_monotono,joia4_ok,joia4_tot,joia4_errmax,joia4_piso,l2_blocos,l2_eq_ng1,u10_ok
BBOB_F1,ok,False,False,True,True,False,False,False,"S,cadencia,custo_fe,f_hash,k,n_blocos,n_linhas,path,x_hash",309,309,201,0,0,False,102,10,2,309,309,True,True,109,109,2.375113989927513e-07,0,True,11,False,Matern-5/2-ARD gamma-prior (D30),qLogNEHVI L.10,1e-06,,128,10,OFF-explicito (python puro; DEF-L2/S.3#9),"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",2,True,True,False,1,hard_stop,0,201,201,True,102,True,False,0,0,201,201,0.0,10,-2.8458438715450822,8.413583824155165,127,1,0,206010,2010,204000,"online,sonda",False,True,10,200,200,0.0,0,0.013368647545576096,0,True,0,0,0.0,0,202,True,True
BBOB_F17,ok,False,False,True,True,False,False,False,"S,cadencia,custo_fe,f_hash,k,n_blocos,n_linhas,path,x_hash",309,309,201,0,0,False,102,10,2,309,309,True,True,109,109,2.3787903291605517e-07,0,True,11,False,Matern-5/2-ARD gamma-prior (D30),qLogNEHVI L.10,1e-06,,128,10,OFF-explicito (python puro; DEF-L2/S.3#9),"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",2,True,True,False,1,hard_stop,0,201,201,True,102,True,False,0,0,201,201,0.0,10,19.475593171446512,22.232560094362782,0,1,0,206010,2010,204000,"online,sonda",False,True,10,200,200,0.0,0,13.658554077148438,0,True,0,0,0.0,0,202,True,True
BBOB_F22,ok,False,False,True,True,False,False,False,"S,cadencia,custo_fe,f_hash,k,n_blocos,n_linhas,path,x_hash",309,309,201,0,0,False,102,10,2,309,309,True,True,109,109,2.345476923792944e-07,0,True,11,False,Matern-5/2-ARD gamma-prior (D30),qLogNEHVI L.10,1e-06,,128,10,OFF-explicito (python puro; DEF-L2/S.3#9),"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",2,True,True,False,1,hard_stop,0,201,201,True,102,True,False,0,0,201,201,0.0,10,13.07634439620039,18.368053376528554,0,1,0,206010,2010,204000,"online,sonda",False,True,10,200,200,0.0,0,1.1588072776794434,0,True,0,0,0.0,0,202,True,True
BBOB_F37,ok,False,False,True,True,False,False,False,"S,cadencia,custo_fe,f_hash,k,n_blocos,n_linhas,path,x_hash",309,309,201,0,0,False,102,10,2,309,309,True,True,109,109,2.3685163252906705e-07,0,True,11,False,Matern-5/2-ARD gamma-prior (D30),qLogNEHVI L.10,1e-06,,128,10,OFF-explicito (python puro; DEF-L2/S.3#9),"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",2,True,True,False,1,hard_stop,0,201,201,True,102,True,False,0,0,201,201,0.0,10,8.904592742781546,13.887060854619094,0,1,0,206010,2010,204000,"online,sonda",False,True,10,200,200,0.0,0,4.8696608543396,0,True,0,0,0.0,0,202,True,True
BBOB_F49,ok,False,False,True,True,False,False,False,"S,cadencia,custo_fe,f_hash,k,n_blocos,n_linhas,path,x_hash",309,309,201,0,0,False,102,10,2,309,309,True,True,109,109,2.365150315597475e-07,0,True,11,False,Matern-5/2-ARD gamma-prior (D30),qLogNEHVI L.10,1e-06,,128,10,OFF-explicito (python puro; DEF-L2/S.3#9),"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",2,True,True,False,1,hard_stop,0,201,201,True,102,True,False,0,0,201,201,0.0,10,5.274109021628253,9.817531755044978,0,1,0,206010,2010,204000,"online,sonda",False,True,10,200,200,0.0,0,3.0202131271362305,0,True,0,0,0.0,0,202,True,True
BBOB_F5,ok,False,False,True,True,False,False,False,"S,cadencia,custo_fe,f_hash,k,n_blocos,n_linhas,path,x_hash",309,309,201,0,0,False,102,10,2,309,309,True,True,109,109,2.3727650955152058e-07,0,True,11,False,Matern-5/2-ARD gamma-prior (D30),qLogNEHVI L.10,1e-06,,128,10,OFF-explicito (python puro; DEF-L2/S.3#9),"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",2,True,True,False,1,hard_stop,0,201,201,True,102,True,False,0,0,201,201,0.0,10,-0.05261205623546239,11.089248909599245,2,1,0,206010,2010,204000,"online,sonda",False,True,10,200,200,0.0,0,0.011212966404855251,0,True,0,0,0.0,0,202,True,True
BBOB_F55,ok,False,False,True,True,False,False,False,"S,cadencia,custo_fe,f_hash,k,n_blocos,n_linhas,path,x_hash",309,309,201,0,0,False,102,10,2,309,309,True,True,109,109,2.3578255614609134e-07,0,True,11,False,Matern-5/2-ARD gamma-prior (D30),qLogNEHVI L.10,1e-06,,128,10,OFF-explicito (python puro; DEF-L2/S.3#9),"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",2,True,True,False,1,hard_stop,0,201,201,True,102,True,False,0,0,201,201,0.0,10,-0.14096403014711711,4.730773185272613,2,1,0,206010,2010,204000,"online,sonda",False,True,10,200,200,0.0,0,0.01709868013858795,0,True,0,0,0.0,0,202,True,True
DTLZ1,ok,False,False,True,True,False,False,False,"S,cadencia,custo_fe,f_hash,k,n_blocos,n_linhas,path,x_hash",216,216,141,0,0,False,72,7,3,216,216,True,True,76,76,2.968073053999376e-08,0,True,11,False,Matern-5/2-ARD gamma-prior (D30),qLogNEHVI L.10,1e-06,,128,10,OFF-explicito (python puro; DEF-L2/S.3#9),"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",2,True,True,False,1,hard_stop,0,141,141,True,72,True,False,0,0,141,141,0.0,10,-48.74205214930669,6.940559873232032,29,1,0,145410,1410,144000,"online,sonda",False,True,10,140,140,0.0,0,6.097512722015381,0,True,0,0,0.0,0,142,True,True
DTLZ2,ok,False,False,True,True,False,False,False,"S,cadencia,custo_fe,f_hash,k,n_blocos,n_linhas,path,x_hash",371,371,241,0,0,False,122,12,3,371,371,True,True,131,131,2.976508484131557e-08,0,True,11,False,Matern-5/2-ARD gamma-prior (D30),qLogNEHVI L.10,1e-06,,128,10,OFF-explicito (python puro; DEF-L2/S.3#9),"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",2,True,True,False,1,hard_stop,0,241,241,True,122,True,False,0,0,241,241,0.0,10,-7.504558816435065,-3.405780414777032,241,1,0,246410,2410,244000,"online,sonda",False,True,10,240,240,0.0,0,0.0007916808826848865,0,True,0,0,0.0,0,242,True,True
DTLZ3,ok,False,False,True,True,False,False,False,"S,cadencia,custo_fe,f_hash,k,n_blocos,n_linhas,path,x_hash",371,371,241,0,0,False,122,12,3,371,371,True,True,131,131,2.9797159739608503e-08,0,True,11,False,Matern-5/2-ARD gamma-prior (D30),qLogNEHVI L.10,1e-06,,128,10,OFF-explicito (python puro; DEF-L2/S.3#9),"S.5 fixo por problema (Anexo J: nadir+0,1·(nadir−ideal))",2,True,True,False,1,hard_stop,0,241,241,True,122,True,False,0,0,241,241,0.0,10,-49.32317653794374,10.94391187382303,39,1,0,246410,2410,244000,"online,sonda",False,True,10,240,240,0.0,0,1.9206480979919434,0,True,0,0,0.0,0,242,True,True
